user_id,transaction_date,age,gender,occupation,region,device_type,product_price,is_weekend,hour_of_day,past_transactions,past_upi_ratio,past_card_ratio,past_cod_ratio,average_order_value,last_payment_method,days_since_last_purchase,payment_method,ratio_sum
USER_0001,2023-01-17,36,Other,Government,Semi-Urban,Mobile,12281.66,0,15,0,0.0,0.0,0.0,0.0,,,card,0.0
USER_0001,2023-02-28,36,Other,Government,Semi-Urban,Desktop,11953.34,0,13,1,0.0,1.0,0.0,12281.66,card,42.0,upi,1.0
USER_0001,2023-03-11,36,Other,Government,Semi-Urban,Mobile,10153.18,1,20,2,0.5,0.5,0.0,12117.5,upi,11.0,upi,1.0
USER_0001,2023-04-05,36,Other,Government,Semi-Urban,Mobile,10183.58,0,9,3,0.6667,0.3333,0.0,11462.73,upi,25.0,upi,1.0
USER_0001,2023-04-27,36,Other,Government,Semi-Urban,Mobile,8500.49,0,13,4,0.75,0.25,0.0,11142.94,upi,22.0,upi,1.0
USER_0001,2023-07-02,36,Other,Government,Semi-Urban,Mobile,8370.03,1,9,5,0.8,0.2,0.0,10614.45,upi,66.0,cod,1.0
USER_0001,2024-02-25,36,Other,Government,Semi-Urban,Mobile,9058.06,1,22,6,0.6667,0.1667,0.1667,10240.38,cod,238.0,upi,1.0001
USER_0001,2024-03-09,36,Other,Government,Semi-Urban,Mobile,7639.48,1,13,7,0.7143,0.1429,0.1429,10071.48,upi,13.0,upi,1.0001
USER_0001,2024-05-05,36,Other,Government,Semi-Urban,Mobile,6555.21,1,14,8,0.75,0.125,0.125,9767.48,upi,57.0,upi,1.0
USER_0001,2024-08-06,36,Other,Government,Semi-Urban,Mobile,9855.81,0,9,9,0.7778,0.1111,0.1111,9410.56,upi,93.0,upi,1.0
USER_0001,2024-09-12,36,Other,Government,Semi-Urban,Mobile,9555.03,0,17,10,0.8,0.1,0.1,9455.08,upi,37.0,upi,1.0
USER_0002,2023-02-01,27,Male,Other,Urban,Mobile,3627.89,0,16,0,0.0,0.0,0.0,0.0,,,upi,0.0
USER_0002,2023-02-12,27,Male,Other,Urban,Mobile,1821.24,1,16,1,1.0,0.0,0.0,3627.89,upi,11.0,upi,1.0
USER_0002,2023-03-31,27,Male,Other,Urban,Mobile,1731.99,0,11,2,1.0,0.0,0.0,2724.57,upi,47.0,upi,1.0
USER_0002,2023-05-03,27,Male,Other,Urban,Mobile,5621.39,0,21,3,1.0,0.0,0.0,2393.71,upi,33.0,upi,1.0
USER_0002,2023-10-02,27,Male,Other,Urban,Mobile,3770.26,0,16,4,1.0,0.0,0.0,3200.63,upi,152.0,upi,1.0
